Código_Departamento;Nombre_Departamento;Código_Municipio;Nombre_Municipio;Código_Entidad;Nombre_Entidad;Tipo;Longitud;Latitud
5;ANTIOQUIA;5001;MEDELLÍN;5001000;MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN;CM;-75,581775;6,246631
5;ANTIOQUIA;5001;MEDELLÍN;5001001;PALMITAS;CP;-75,690573;6,343919
5;ANTIOQUIA;5001;MEDELLÍN;5001004;SANTA ELENA;CP;-75,501293;6,210599
5;ANTIOQUIA;5001;MEDELLÍN;5001009;ALTAVISTA;CP;-75,643706;6,221429
5;ANTIOQUIA;5001;MEDELLÍN;5001010;AGUAS FRÍAS;CP;-75,633948;6,233335
5;ANTIOQUIA;5001;MEDELLÍN;5001013;SAN JOSÉ DEL MANZANILLO;CP;-75,612136;6,206092
5;ANTIOQUIA;5001;MEDELLÍN;5001014;BARRO BLANCO;CP;-75,479856;6,236734
5;ANTIOQUIA;5001;MEDELLÍN;5001015;EL CERRO;CP;-75,489496;6,200314
5;ANTIOQUIA;5001;MEDELLÍN;5001017;EL PATIO;CP;-75,65111;6,277841
5;ANTIOQUIA;5001;MEDELLÍN;5001018;EL PLACER;CP;-75,492971;6,224788
5;ANTIOQUIA;5001;MEDELLÍN;5001019;EL PLAN;CP;-75,518361;6,204348
5;ANTIOQUIA;5001;MEDELLÍN;5001022;LA ALDEA;CP;-75,703728;6,342408
5;ANTIOQUIA;5001;MEDELLÍN;5001023;LA CUCHILLA;CP;-75,65356;6,293513
5;ANTIOQUIA;5001;MEDELLÍN;5001025;LA PALMA;CP;-75,648469;6,273737
5;ANTIOQUIA;5001;MEDELLÍN;5001027;LAS PLAYAS;CP;-75,648999;6,283947
5;ANTIOQUIA;5001;MEDELLÍN;5001029;PIEDRA GORDA;CP;-75,498198;6,235183
5;ANTIOQUIA;5001;MEDELLÍN;5001031;POTRERITO;CP;-75,668067;6,183065
5;ANTIOQUIA;5001;MEDELLÍN;5001032;TRAVESÍAS;CP;-75,643128;6,286948
5;ANTIOQUIA;5001;MEDELLÍN;5001033;URQUITA;CP;-75,69843;6,365363
5;ANTIOQUIA;5001;MEDELLÍN;5001035;BOQUERÓN;CP;-75,657382;6,314675
5;ANTIOQUIA;5001;MEDELLÍN;5001039;EL LLANO 1;CP;-75,649476;6,294584
5;ANTIOQUIA;5001;MEDELLÍN;5001040;EL LLANO;CP;-75,50446;6,197706
5;ANTIOQUIA;5001;MEDELLÍN;5001048;LA VERDE;CP;-75,639499;6,190434
5;ANTIOQUIA;5001;MEDELLÍN;5001052;MATASANO;CP;-75,49253;6,257654
5;ANTIOQUIA;5001;MEDELLÍN;5001054;MATASANO 2;CP;-75,504392;6,26672
5;ANTIOQUIA;5001;MEDELLÍN;5001055;MAZO;CP;-75,500511;6,250948
5;ANTIOQUIA;5001;MEDELLÍN;5001057;MEDIA LUNA;CP;-75,515947;6,240506
5;ANTIOQUIA;5001;MEDELLÍN;5001066;LAS CAMELIAS;CP;-75,643377;6,196729
5;ANTIOQUIA;5002;ABEJORRAL;5002000;ABEJORRAL;CM;-75,428739;5,789315
5;ANTIOQUIA;5002;ABEJORRAL;5002002;PANTANILLO;CP;-75,493366;5,730047
5;ANTIOQUIA;5002;ABEJORRAL;5002004;NARANJAL - LAS FONDAS;CP;-75,513159;5,762733
5;ANTIOQUIA;5002;ABEJORRAL;5002016;LAS CANOAS;CP;-75,428654;5,782009
5;ANTIOQUIA;5004;ABRIAQUÍ;5004000;ABRIAQUÍ;CM;-76,064304;6,632282
5;ANTIOQUIA;5004;ABRIAQUÍ;5004003;POTREROS SECTOR 1;CP;-76,089389;6,674773
5;ANTIOQUIA;5021;ALEJANDRÍA;5021000;ALEJANDRÍA;CM;-75,141346;6,376061
5;ANTIOQUIA;5030;AMAGÁ;5030000;AMAGÁ;CM;-75,702188;6,038708
5;ANTIOQUIA;5030;AMAGÁ;5030001;CAMILO C;CP;-75,698647;6,025795
5;ANTIOQUIA;5030;AMAGÁ;5030003;LA CLARITA;CP;-75,699419;6,069094
5;ANTIOQUIA;5030;AMAGÁ;5030004;LA FERREIRA;CP;-75,709024;6,063192
5;ANTIOQUIA;5030;AMAGÁ;5030005;LA GUALÍ;CP;-75,70687;6,057368
5;ANTIOQUIA;5030;AMAGÁ;5030006;PIEDECUESTA;CP;-75,692984;6,049763
5;ANTIOQUIA;5030;AMAGÁ;5030011;MINAS;CP;-75,701064;6,077355
5;ANTIOQUIA;5030;AMAGÁ;5030012;CAMILO C - ALTO DE LA VIRGEN;CP;-75,703369;6,027214
5;ANTIOQUIA;5030;AMAGÁ;5030013;PIEDECUESTA - MANI DE LAS CASAS;CP;-75,694019;6,055273
5;ANTIOQUIA;5031;AMALFI;5031000;AMALFI;CM;-75,077501;6,909655
5;ANTIOQUIA;5031;AMALFI;5031004;PORTACHUELO;CP;-74,926988;6,800686
5;ANTIOQUIA;5034;ANDES;5034000;ANDES;CM;-75,878828;5,657194
5;ANTIOQUIA;5034;ANDES;5034001;BUENOS AIRES;CP;-75,835482;5,683037
5;ANTIOQUIA;5034;ANDES;5034003;SAN JOSÉ;CP;-75,870355;5,736089
5;ANTIOQUIA;5034;ANDES;5034006;SANTA RITA;CP;-75,917387;5,612796
5;ANTIOQUIA;5034;ANDES;5034007;TAPARTÓ;CP;-75,965055;5,700929
5;ANTIOQUIA;5034;ANDES;5034012;SANTA INÉS;CP;-75,899904;5,563851
5;ANTIOQUIA;5034;ANDES;5034014;SAN BARTOLO;CP;-75,853344;5,637706
5;ANTIOQUIA;5034;ANDES;5034015;LA CHAPARRALA - LA UNIÓN;CP;-75,924471;5,652848
5;ANTIOQUIA;5036;ANGELÓPOLIS;5036000;ANGELÓPOLIS;CM;-75,711389;6,109719
5;ANTIOQUIA;5036;ANGELÓPOLIS;5036001;LA ESTACIÓN;CP;-75,703416;6,084547
5;ANTIOQUIA;5036;ANGELÓPOLIS;5036006;SANTA RITA;CP;-75,709611;6,099411
5;ANTIOQUIA;5036;ANGELÓPOLIS;5036011;CIENAGUITA;CP;-75,748004;6,119314
5;ANTIOQUIA;5038;ANGOSTURA;5038000;ANGOSTURA;CM;-75,335116;6,885175
5;ANTIOQUIA;5038;ANGOSTURA;5038008;LLANOS DE CUIBA;CP;-75,485702;6,813179
5;ANTIOQUIA;5040;ANORÍ;5040000;ANORÍ;CM;-75,148355;7,074703
5;ANTIOQUIA;5040;ANORÍ;5040002;LIBERIA;CP;-74,999147;7,381052
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042000;SANTA FÉ DE ANTIOQUIA;CM;-75,826648;6,556484
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042002;LAURELES;CP;-75,949152;6,490148
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042006;EL PESCADO;CP;-75,909895;6,495675
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042007;SABANAS;CP;-75,91276;6,461059
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042008;KILOMETRO 2;CP;-75,846102;6,560311
5;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;5042009;PASO REAL;CP;-75,818536;6,519851
5;ANTIOQUIA;5044;ANZÁ;5044000;ANZÁ;CM;-75,854442;6,302641
