DIVIPOLA,Municipio,Departamento,abstencion_2018,margen_2018,abstencion_2022,margen_2022,margen_2026,tasa_nulos_2026,IPM_2018,total_victimas,Amenaza,Desplazamiento forzado,Homicidio,abstencion_prom,margen_prom,abstencion_prom_norm,margen_prom_norm,IPM_2018_norm,total_victimas_norm,tasa_nulos_2026_norm,indice_fragilidad,nivel_riesgo,cluster,perfil_cluster
05001,MEDELLIN,ANTIOQUIA,0.3918836381953846,,0.3577820054523461,,0.20160684309335128,0.06405227852311786,12.8,26275,4719,15764,5792,0.37483282182386535,0.20160684309335128,0.18574977189697955,0.23019956400599295,0.09031556039173012,0.6355741551561479,0.1777410484521047,41.24,Medio,3,Fragilidad Baja
05002,ABEJORRAL,ANTIOQUIA,0.5602325115253558,,0.5158444952629859,,,0.06022530329289428,40.6,6003,553,4317,1133,0.5380385033941708,0.31724006601182414,0.4218193461842588,0.36425842863182895,0.3928182807399347,0.145189772369917,0.15720871066501552,50.96,Alto,2,Fragilidad Media
05004,ABRIAQUI,ANTIOQUIA,0.48039728175640356,,0.49771225216065074,,0.0030469226081657527,0.047090954233220225,34.8,2459,68,2037,354,0.4890547669585271,0.0030469226081657527,0.350966605666268,0.0,0.32970620239390636,0.05945959021747018,0.08674081492924696,30.26,Medio,2,Fragilidad Media
05021,ALEJANDRIA,ANTIOQUIA,0.5157177401626731,,0.4813514699429574,,,0.06022530329289428,31.9,4609,197,3734,678,0.49853460505281527,0.31724006601182414,0.3646787590772195,0.36425842863182895,0.2981501632208922,0.11146858898376835,0.15720871066501552,43.87,Medio,2,Fragilidad Media
05030,AMAGA,ANTIOQUIA,0.5319910514541387,,0.5007215007215007,,,0.06022530329289428,22.9,3850,396,2269,1185,0.5163562760878198,0.31724006601182414,0.39045699335093936,0.36425842863182895,0.2002176278563656,0.09310820290766587,0.15720871066501552,40.43,Medio,3,Fragilidad Baja
05031,AMALFI,ANTIOQUIA,0.6479455243859853,,0.6635432556112443,,0.07191189173625108,0.06145288835276773,43.3,7402,1320,3948,2134,0.6557443899986148,0.07191189173625108,0.5920755423807615,0.07983829682160941,0.4221980413492926,0.1790319069159873,0.1637949020029284,51.04,Alto,0,Fragilidad Muy Alta
05034,ANDES,ANTIOQUIA,0.5567576899835985,,0.5404794463204309,,,0.06022530329289428,40.1,8044,853,4450,2741,0.5486185681520147,0.31724006601182414,0.43712292728073027,0.36425842863182895,0.38737758433079433,0.1945620358499238,0.15720871066501552,52.92,Alto,2,Fragilidad Media
05036,ANGELOPOLIS,ANTIOQUIA,0.5588437715072264,,0.5641891891891891,,,0.06022530329289428,30.7,2402,143,1903,356,0.5615164803482078,0.31724006601182414,0.4557791689755904,0.36425842863182895,0.28509249183895535,0.05808074699436367,0.15720871066501552,45.27,Medio,2,Fragilidad Media
05038,ANGOSTURA,ANTIOQUIA,0.6733120387707897,,0.6518565534750873,,,0.06022530329289428,53.8,5964,436,4710,818,0.6625842961229385,0.31724006601182414,0.6019691546091965,0.36425842863182895,0.5364526659412404,0.14424635332252836,0.15720871066501552,63.77,Alto,0,Fragilidad Muy Alta
05040,ANORI,ANTIOQUIA,0.7340901272789818,,0.7248801948307015,,0.06322350845948353,0.06765825517051921,53.3,8959,1096,6219,1644,0.7294851610548416,0.06322350845948353,0.6987382042646264,0.06976545816745577,0.5310119695321001,0.2166960981155809,0.1970876932884953,60.98,Alto,0,Fragilidad Muy Alta
05044,ANZA,ANTIOQUIA,0.5697452781147115,,0.6275252525252525,,0.13053316362607834,0.07855297157622738,47.1,5055,229,4027,799,0.598635265319982,0.13053316362607834,0.5094697983828336,0.14780060863932507,0.4635473340587595,0.12225743244877718,0.2555395995276358,51.21,Alto,2,Fragilidad Media
05045,APARTADO,ANTIOQUIA,0.5306413301662708,,0.5115770605789023,,,0.06022530329289428,28.0,19219,4349,11916,2954,0.5211091953725866,0.31724006601182414,0.39733187430717226,0.36425842863182895,0.25571273122959737,0.46488787827475264,0.15720871066501552,54.7,Alto,2,Fragilidad Media
05051,ARBOLETES,ANTIOQUIA,0.5469307637401856,,0.5944382552061016,,,0.06022530329289428,59.1,9931,763,7782,1386,0.5706845094731436,0.31724006601182414,0.4690403049345408,0.36425842863182895,0.5941240478781283,0.24020900360434455,0.15720871066501552,63.83,Alto,0,Fragilidad Muy Alta
05055,ARGELIA,ANTIOQUIA,0.5331811263318113,,0.5519893506877681,,,0.06022530329289428,48.7,6051,1089,3016,1946,0.5425852385097897,0.31724006601182414,0.42839599114424937,0.36425842863182895,0.4809575625680087,0.1463509035051646,0.15720871066501552,54.76,Alto,2,Fragilidad Media
05059,ARMENIA,ANTIOQUIA,0.5936433447098977,,0.5263840830449827,,0.12813522355507087,0.05214776632302406,37.7,1306,197,821,288,0.5600137138774401,0.12813522355507087,0.45360548581950194,0.1450205674431482,0.36126224156692055,0.031568252739543765,0.1138714253219415,39.73,Medio,2,Fragilidad Media
05079,BARBOSA,ANTIOQUIA,0.47818464653448234,,0.4992988625993278,,0.22967945777913673,0.059520986483281954,22.2,6866,661,3888,2317,0.48874175456690505,0.22967945777913673,0.3505138475188439,0.26274542545368723,0.1926006528835691,0.16606594257238927,0.15342993767221508,37.58,Medio,3,Fragilidad Baja
05086,BELMIRA,ANTIOQUIA,0.5248421052631579,,0.4814601344860711,,,0.06022530329289428,40.8,1128,116,714,298,0.5031511198746145,0.31724006601182414,0.37135633719942224,0.36425842863182895,0.3949945593035908,0.02726239144633397,0.15720871066501552,45.31,Medio,2,Fragilidad Media
05088,BELLO,ANTIOQUIA,0.44085632661917334,,0.43254128187656754,,,0.06022530329289428,14.2,9096,2006,5302,1788,0.43669880424787044,0.31724006601182414,0.27523609365476603,0.36425842863182895,0.10554951033732317,0.22001015989743342,0.15720871066501552,36.13,Medio,3,Fragilidad Baja
05091,BETANIA,ANTIOQUIA,0.6336609925677296,,0.609860664523044,,0.004510091329349419,0.06466102580173404,53.6,5199,562,3587,1050,0.6217608285453868,0.004510091329349419,0.5429198707899217,0.0016963181736810592,0.5342763873775843,0.12574082585451993,0.18100707553605538,49.63,Medio,0,Fragilidad Muy Alta
05093,BETULIA,ANTIOQUIA,0.6045604560456046,,0.6378793418647166,,,0.06022530329289428,53.1,7570,769,5325,1476,0.6212198989551606,0.31724006601182414,0.5421374408104291,0.36425842863182895,0.528835690968444,0.18309586588935386,0.15720871066501552,62.33,Alto,0,Fragilidad Muy Alta
05113,BURITICA,ANTIOQUIA,0.6098095629538293,,0.6831788079470199,,0.09843184559710494,0.06757663906914299,51.3,5434,547,4474,413,0.6464941854504246,0.09843184559710494,0.5786955434202423,0.11058408782167728,0.5092491838955385,0.13142553037083624,0.19664980977435925,53.94,Alto,0,Fragilidad Muy Alta
05107,BRICEÑO,ANTIOQUIA,0.6785173978819969,,0.6580250509758229,,,0.06022530329289428,55.4,7729,2410,4303,1016,0.66827122442891,0.31724006601182414,0.6101950370127736,0.36425842863182895,0.5538628944504896,0.1869421127748615,0.15720871066501552,66.15,Alto,0,Fragilidad Muy Alta
05120,CACERES,ANTIOQUIA,0.7178227951708614,,0.708554125662377,,,0.06022530329289428,66.4,15347,4413,8789,2145,0.7131884604166192,0.31724006601182414,0.6751657701132139,0.36425842863182895,0.6735582154515778,0.3712233000314473,0.15720871066501552,79.32,Muy Alto,0,Fragilidad Muy Alta
05125,CAICEDO,ANTIOQUIA,0.5680548906973033,,0.5733489187609585,,,0.06022530329289428,54.6,4950,357,3733,860,0.5707019047291308,0.31724006601182414,0.4690654663788975,0.36425842863182895,0.545157780195865,0.11971745809042308,0.15720871066501552,58.07,Alto,0,Fragilidad Muy Alta
05129,CALDAS,ANTIOQUIA,0.39100171650840143,,0.3797464674071059,,,0.06022530329289428,16.0,4116,291,1888,1937,0.38537409195775363,0.31724006601182414,0.2009972383393916,0.36425842863182895,0.1251360174102285,0.09954280461549625,0.15720871066501552,30.14,Medio,3,Fragilidad Baja
05134,CAMPAMENTO,ANTIOQUIA,0.7275471698113207,,0.737516005121639,,,0.06022530329289428,59.3,6053,1093,3601,1359,0.7325315874664798,0.31724006601182414,0.7031447211160826,0.36425842863182895,0.5963003264417844,0.14639928396913326,0.15720871066501552,70.23,Alto,0,Fragilidad Muy Alta
